ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,x,y
8.0,-74.37500595,52.29167085
17.0,-101.04167475,23.54166855
10.0,58.54167135,28.95833565
3.0,66.45833865,64.79167185
-9999.0,166.87501335,-20.62500165
-9999.0,-145.62501165,50.62500405
-9999.0,-146.87501175,3.54166694999999
-9999.0,-7.29166725000002,66.45833865
-9999.0,39.37500315,-18.12500145
-9999.0,-151.04167875,-2.70833355000001
18.0,-37.29166965,66.04167195
-9999.0,57.70833795,-49.79167065
-9999.0,-95.20834095,28.12500225
-9999.0,109.79167545,17.29166805
-9999.0,116.04167595,-9.79166745000001
18.0,-24.79166865,73.95833925
28.0,73.95833925,41.04166995
-9999.0,157.70834595,-8.12500065
17.0,107.29167525,30.62500245
-9999.0,-137.29167765,-28.95833565
11.0,80.20833975,48.54167055
-9999.0,88.95834045,-7.29166725
-9999.0,137.29167765,76.45833945
10.0,17.29166805,59.37500475
-9999.0,-168.54168015,50.62500405
-9999.0,-141.87501135,59.79167145
-9999.0,178.95834765,-3.12500025
-9999.0,-88.12500705,-41.45833665
10.0,166.87501335,65.20833855
-9999.0,-169.37501355,-51.04167075
-9999.0,-89.37500715,30.20833575
3.0,-51.87500415,-29.79166905
15.0,-77.70833955,-7.70833395
0.0,-63.12500505,-7.29166725
-9999.0,-126.87501015,-35.62500285
18.0,4.37500034999999,11.87500095
-9999.0,-132.29167725,16.45833465
-9999.0,-97.29167445,21.45833505
-9999.0,-151.45834545,-38.12500305
6.0,31.45833585,3.12500025
-9999.0,9.37500075,75.62500605
-9999.0,101.04167475,-11.04166755
-9999.0,160.62501285,19.37500155
1.0,101.04167475,54.79167105
4.0,-62.29167165,-19.37500155
-9999.0,175.62501405,31.87500255
-9999.0,161.04167955,35.20833615
13.0,-113.12500905,66.45833865
4.0,27.70833555,-8.12500065
-9999.0,49.37500395,1.45833345
-9999.0,58.95833805,-13.12500105
-9999.0,71.04167235,-8.54166735
3.0,-111.87500895,41.87500335
-9999.0,78.54167295,-33.95833605
-9999.0,-86.87500695,-53.54167095
-9999.0,-37.29166965,42.70833675
-9999.0,59.37500475,-38.12500305
5.0,-68.12500545,53.95833765
1.0,-55.62500445,-8.12500065
-9999.0,158.12501265,80.62500645
-9999.0,-166.45834665,39.79166985
1.0,130.20834375,51.04167075
31.0,-1.87500015000001,5.62500045
10.0,-1.04166675000002,12.29166765
6.0,-63.12500505,53.12500425
-9999.0,71.45833905,-54.37500435
-9999.0,-89.79167385,-21.04166835
-9999.0,106.45834185,1.04166675
4.0,-120.20834295,62.70833835
-9999.0,52.29167085,13.12500105
-9999.0,-146.04167835,21.04166835
-9999.0,172.70834715,7.29166725
1.0,110.62500885,74.79167265
19.0,-115.62500925,50.62500405
8.0,-91.87500735,66.87500535
-9999.0,3.95833364999999,-3.95833365
-9999.0,-71.87500575,75.20833935
12.0,116.04167595,-26.04166875
5.0,81.45833985,40.20833655
-9999.0,-148.95834525,-41.45833665
6.0,8.12500064999998,16.04166795
2.0,-74.79167265,-8.95833405
-9999.0,-143.95834485,23.95833525
-9999.0,102.70834155,-41.87500335
22.0,-69.37500555,-42.70833675
5.0,-105.62500845,66.04167195
-9999.0,117.70834275,13.95833445
-9999.0,-140.20834455,-16.04166795
-9999.0,-11.45833425,66.87500535
-9999.0,-114.79167585,13.54166775
-9999.0,105.20834175,-47.70833715
-9999.0,143.12501145,3.12500025
4.0,33.54166935,5.62500045
-9999.0,89.79167385,-3.95833365
-9999.0,161.45834625,-26.87500215
-9999.0,-176.87501415,13.95833445
3.0,107.29167525,-6.45833385
-9999.0,-163.54167975,-12.29166765
-9999.0,-171.45834705,-25.20833535
11.0,55.20833775,17.70833475
8.0,-115.62500925,58.95833805
-9999.0,103.12500825,-31.87500255
-9999.0,148.54167855,-10.20833415
6.0,35.20833615,-11.04166755
-9999.0,2.29166684999998,-41.87500335
-9999.0,47.29167045,-49.37500395
-9999.0,5.20833374999998,-21.87500175
18.0,105.62500845,33.54166935
-9999.0,171.04168035,76.87500615
-9999.0,179.79168105,57.29167125
-9999.0,-116.87500935,7.29166725
-9999.0,23.95833525,-52.70833755
