soiltype_mostprobable,x,y
0.0,-84.0625,33.9375
10.0,102.0625,5.6875
18.0,-90.1875,35.1875
6.0,-150.5625,62.6875
7.0,-107.0625,46.1875
6.0,62.8125,62.0625
14.0,87.6875,65.4375
23.0,-67.0625,45.5625
255.0,16.8125,58.6875
20.0,78.0625,55.6875
18.0,-106.9375,25.4375
6.0,-105.6875,62.8125
23.0,87.0625,62.5625
8.0,-127.1875,62.6875
15.0,-114.4375,43.4375
14.0,148.1875,61.5625
18.0,-76.1875,40.6875
255.0,-90.4375,45.6875
14.0,83.1875,62.4375
18.0,-108.4375,55.4375
23.0,-85.3125,50.6875
14.0,78.5625,59.3125
6.0,132.9375,52.9375
6.0,25.6875,46.4375
23.0,-56.9375,51.9375
0.0,97.3125,18.1875
6.0,127.1875,39.0625
255.0,43.8125,64.1875
29.0,148.5625,-25.4375
17.0,33.9375,-10.9375
0.0,101.0625,16.8125
6.0,-124.4375,64.5625
6.0,175.1875,65.4375
8.0,66.4375,67.1875
8.0,-71.0625,60.8125
18.0,-94.9375,37.0625
0.0,-87.4375,33.0625
23.0,15.9375,64.6875
14.0,55.4375,66.4375
6.0,30.1875,68.5625
6.0,15.9375,44.9375
8.0,75.9375,70.1875
0.0,-86.5625,31.6875
24.0,-104.6875,27.6875
18.0,147.6875,-34.5625
18.0,-96.0625,51.0625
18.0,-77.1875,42.8125
8.0,118.9375,53.5625
6.0,131.4375,43.0625
8.0,95.9375,74.5625
8.0,95.9375,69.0625
1.0,51.4375,57.4375
6.0,111.1875,30.6875
2.0,107.1875,27.9375
6.0,-84.1875,51.0625
18.0,-77.0625,40.5625
0.0,140.6875,-8.0625
0.0,110.4375,27.5625
0.0,-86.9375,32.0625
6.0,2.4375,50.1875
6.0,94.1875,22.4375
0.0,98.3125,23.1875
20.0,71.5625,57.1875
0.0,114.6875,24.6875
7.0,58.4375,51.6875
255.0,-77.0625,47.5625
6.0,-115.3125,48.5625
18.0,150.8125,-25.0625
6.0,132.5625,52.5625
7.0,-95.1875,45.9375
2.0,107.5625,30.9375
7.0,-109.8125,39.1875
255.0,21.9375,65.0625
0.0,-80.1875,35.0625
18.0,130.9375,43.3125
6.0,-123.8125,64.0625
1.0,29.1875,58.5625
18.0,104.8125,24.9375
6.0,164.5625,68.9375
16.0,100.9375,29.1875
14.0,114.9375,4.6875
0.0,-79.3125,35.9375
0.0,118.1875,25.4375
1.0,47.5625,61.0625
20.0,44.9375,53.0625
255.0,6.9375,62.9375
14.0,52.3125,66.3125
1.0,43.4375,62.8125
1.0,85.1875,54.5625
18.0,-108.6875,55.6875
6.0,141.1875,52.6875
6.0,-158.3125,66.6875
6.0,-124.8125,54.6875
0.0,113.3125,25.9375
8.0,-131.3125,69.9375
7.0,53.9375,53.0625
6.0,129.0625,70.8125
18.0,-97.1875,31.6875
255.0,-146.4375,66.5625
255.0,-6.1875,56.1875
8.0,150.6875,65.6875
8.0,106.4375,60.6875
18.0,61.3125,57.4375
255.0,25.9375,-33.8125
255.0,136.3125,-13.6875
6.0,-123.6875,62.5625
7.0,48.5625,54.0625
255.0,107.6875,53.0625
18.0,101.6875,15.4375
1.0,46.9375,59.9375
1.0,35.3125,59.9375
255.0,100.4375,5.5625
255.0,-108.6875,61.3125
8.0,84.6875,69.1875
20.0,78.0625,55.4375
1.0,89.0625,57.3125
23.0,-56.4375,48.9375
29.0,150.1875,-23.9375
255.0,24.6875,-34.1875
29.0,94.0625,24.5625
15.0,121.9375,42.8125
23.0,-66.0625,52.6875
8.0,112.4375,53.4375
2.0,107.6875,26.5625
15.0,-116.6875,46.4375
8.0,132.3125,52.4375
6.0,-97.8125,63.1875
6.0,66.1875,62.6875
15.0,-114.9375,40.1875
7.0,123.5625,45.8125
18.0,-84.6875,41.4375
18.0,125.5625,41.9375
6.0,-91.8125,50.0625
6.0,112.8125,57.6875
12.0,102.8125,13.4375
19.0,117.9375,1.4375
6.0,-118.8125,43.0625
6.0,-10.0625,54.1875
255.0,-63.6875,67.5625
16.0,94.0625,31.0625
14.0,-73.3125,65.8125
6.0,-159.8125,68.5625
6.0,125.3125,7.9375
7.0,32.5625,48.6875
1.0,42.9375,54.4375
18.0,124.3125,40.9375
6.0,8.4375,59.9375
6.0,120.8125,27.9375
8.0,-72.3125,61.6875
15.0,121.9375,45.3125
23.0,-73.1875,47.4375
18.0,21.4375,-33.8125
1.0,28.8125,49.3125
8.0,150.4375,64.8125
8.0,123.8125,58.3125
6.0,-97.5625,64.6875
1.0,44.6875,64.9375
14.0,-90.9375,57.1875
7.0,42.6875,40.5625
15.0,42.6875,49.0625
8.0,-117.4375,64.9375
14.0,87.6875,65.0625
14.0,-89.1875,55.0625
255.0,-126.9375,68.3125
6.0,-152.5625,67.4375
8.0,108.6875,49.6875
255.0,129.4375,-15.0625
6.0,95.0625,53.1875
6.0,-1.0625,46.3125
255.0,30.6875,-30.4375
18.0,103.0625,31.1875
255.0,138.6875,38.1875
255.0,-33.3125,66.9375
14.0,83.0625,63.5625
24.0,-70.9375,-41.3125
6.0,-159.4375,65.6875
1.0,43.3125,61.5625
18.0,-88.3125,33.3125
6.0,116.1875,41.1875
14.0,138.6875,64.0625
14.0,76.0625,64.1875
0.0,110.4375,25.8125
8.0,134.6875,60.6875
21.0,117.6875,32.0625
1.0,55.1875,58.8125
23.0,-124.0625,50.0625
1.0,37.0625,60.4375
6.0,-147.3125,62.8125
18.0,122.3125,-17.8125
18.0,-89.5625,48.1875
8.0,124.8125,59.0625
23.0,149.1875,60.8125
23.0,94.9375,63.9375
7.0,82.4375,52.1875
10.0,115.1875,3.8125
8.0,119.6875,53.9375
255.0,13.0625,47.4375
