ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
88.0,-154.8125,58.3125
122.0,-124.3125,42.0625
56.0,-124.0625,51.6875
24.0,-113.0625,43.1875
38.0,-100.1875,48.3125
18.0,-120.9375,43.9375
33.0,-95.0625,35.4375
87.0,97.0625,18.8125
134.0,-75.8125,57.5625
94.0,174.6875,64.0625
145.0,54.5625,64.6875
29.0,-116.1875,43.8125
77.0,101.5625,51.8125
15.0,145.4375,-18.5625
60.0,-8.6875,42.1875
88.0,-81.9375,46.3125
263.0,74.8125,58.0625
35.0,26.6875,40.8125
116.0,99.6875,53.3125
36.0,106.6875,33.5625
-9999.0,25.9375,71.0625
80.0,122.6875,51.4375
96.0,-19.8125,64.8125
74.0,-75.6875,42.6875
32.0,-80.0625,33.8125
118.0,135.5625,55.5625
29.0,9.9375,51.5625
13.0,89.8125,31.5625
255.0,-164.3125,62.8125
90.0,-108.5625,55.0625
41.0,10.9375,45.5625
69.0,115.9375,0.6875
18.0,-112.8125,43.8125
148.0,37.4375,63.6875
53.0,103.8125,48.5625
5.0,-116.9375,35.6875
16.0,113.6875,37.8125
62.0,-122.3125,53.3125
69.0,-130.5625,56.9375
47.0,115.8125,-1.8125
257.0,-154.8125,68.5625
185.0,-96.4375,67.4375
82.0,110.8125,53.1875
-9999.0,-16.0625,64.5625
40.0,93.6875,21.0625
85.0,16.4375,52.9375
80.0,97.3125,52.5625
47.0,23.0625,52.1875
39.0,4.6875,45.0625
27.0,11.1875,44.5625
545.0,-83.8125,54.3125
122.0,-138.4375,68.6875
30.0,107.8125,30.0625
106.0,89.1875,66.8125
29.0,15.8125,49.5625
195.0,122.1875,14.8125
9.0,-119.3125,39.4375
48.0,-94.8125,29.3125
76.0,127.0625,42.4375
169.0,138.3125,53.6875
91.0,64.1875,66.3125
143.0,-74.0625,50.8125
226.0,175.8125,65.5625
15.0,118.9375,31.9375
105.0,44.5625,62.8125
23.0,110.9375,19.8125
39.0,-91.3125,45.1875
93.0,133.4375,59.8125
202.0,-156.5625,64.5625
174.0,126.0625,54.9375
-9999.0,132.0625,33.4375
168.0,13.4375,60.9375
160.0,-152.3125,70.4375
71.0,133.5625,-0.9375
147.0,-97.0625,63.1875
151.0,-87.3125,65.4375
21.0,-82.3125,34.8125
81.0,-111.0625,56.1875
33.0,-98.3125,49.0625
57.0,116.6875,51.3125
26.0,36.4375,34.8125
110.0,159.9375,53.3125
70.0,-128.5625,59.0625
-9999.0,-118.3125,66.0625
333.0,-164.0625,61.0625
47.0,60.8125,53.6875
109.0,133.8125,59.8125
67.0,-1.5625,55.0625
60.0,131.4375,54.1875
296.0,-149.6875,64.8125
127.0,82.9375,50.0625
25.0,-85.9375,38.8125
8.0,-101.9375,26.1875
76.0,-84.3125,48.0625
98.0,-66.6875,47.6875
82.0,53.9375,63.1875
-9999.0,-57.3125,54.0625
40.0,8.9375,40.3125
120.0,-175.8125,65.1875
111.0,89.1875,53.9375
23.0,77.5625,40.5625
123.0,77.9375,55.5625
91.0,-140.1875,66.0625
-9999.0,12.1875,55.1875
71.0,99.4375,18.8125
61.0,84.8125,42.6875
-9999.0,-140.6875,59.6875
148.0,147.1875,66.3125
49.0,9.3125,49.9375
201.0,-141.9375,67.6875
325.0,-101.1875,58.3125
-9999.0,21.3125,61.5625
21.0,-92.0625,37.6875
27.0,149.8125,-35.4375
78.0,-107.4375,67.3125
267.0,-164.6875,61.3125
29.0,105.4375,12.6875
-9999.0,122.3125,29.6875
-9999.0,-89.4375,47.6875
46.0,11.5625,49.4375
25.0,148.8125,-34.1875
180.0,-91.1875,64.0625
50.0,149.6875,-36.0625
60.0,86.1875,54.0625
148.0,60.9375,66.6875
66.0,45.9375,42.3125
-9999.0,-56.4375,46.9375
-9999.0,70.5625,69.6875
74.0,-120.8125,53.0625
-9999.0,-4.6875,36.4375
75.0,-94.0625,50.8125
45.0,-126.6875,57.4375
154.0,-36.6875,66.1875
181.0,155.3125,69.0625
16.0,18.3125,-33.3125
157.0,127.9375,71.6875
24.0,107.1875,35.0625
19.0,-114.8125,41.8125
258.0,78.0625,66.8125
122.0,157.6875,63.3125
9.0,30.4375,-21.0625
90.0,16.4375,63.0625
174.0,147.1875,62.8125
105.0,137.5625,36.5625
70.0,-89.9375,45.4375
145.0,27.4375,65.9375
48.0,93.3125,25.0625
70.0,-120.4375,52.8125
12.0,132.9375,-31.0625
139.0,18.9375,65.9375
120.0,-62.4375,56.3125
129.0,-81.0625,27.6875
77.0,-76.6875,46.0625
107.0,14.0625,57.0625
101.0,-111.9375,69.0625
102.0,80.4375,57.0625
102.0,31.0625,52.9375
106.0,22.0625,69.4375
68.0,118.6875,60.0625
32.0,111.4375,25.8125
166.0,-91.5625,53.1875
106.0,48.4375,62.1875
28.0,-118.9375,34.6875
72.0,-131.8125,59.9375
87.0,-72.9375,48.9375
123.0,-74.4375,64.6875
48.0,117.0625,42.3125
17.0,-105.8125,34.9375
59.0,24.4375,49.0625
101.0,108.4375,55.5625
-9999.0,128.1875,-0.9375
13.0,3.4375,35.9375
26.0,-5.8125,35.3125
158.0,-72.9375,-50.8125
-9999.0,35.8125,41.6875
115.0,-131.3125,65.1875
14.0,120.5625,41.0625
60.0,109.1875,58.9375
187.0,-50.1875,64.3125
169.0,113.8125,62.6875
121.0,-66.9375,55.4375
477.0,-83.3125,53.6875
61.0,-79.5625,9.1875
172.0,-89.8125,52.5625
-9999.0,17.9375,77.9375
135.0,158.8125,56.1875
205.0,-77.9375,53.8125
250.0,74.5625,61.8125
26.0,46.8125,38.9375
121.0,15.8125,58.1875
146.0,-152.9375,65.1875
150.0,143.1875,53.3125
147.0,136.5625,65.3125
45.0,83.6875,55.1875
114.0,81.1875,55.5625
96.0,106.5625,64.1875
125.0,-114.6875,58.6875
125.0,53.3125,62.0625
32.0,152.3125,-26.8125
73.0,-76.6875,35.5625
115.0,28.0625,68.8125
82.0,113.6875,54.1875
34.0,-100.4375,31.0625
186.0,101.1875,4.1875
78.0,-17.4375,65.3125
32.0,100.1875,30.3125
145.0,95.6875,72.9375
156.0,-119.5625,68.6875
14.0,112.4375,32.8125
-9999.0,-112.3125,40.8125
19.0,123.5625,-16.4375
68.0,-92.5625,16.8125
67.0,117.8125,60.8125
64.0,-94.8125,48.6875
-9999.0,133.0625,32.5625
97.0,14.4375,64.3125
107.0,-68.6875,50.0625
14.0,145.1875,-17.8125
214.0,-119.4375,59.6875
309.0,-90.6875,53.4375
51.0,118.4375,51.8125
35.0,100.9375,20.0625
127.0,-81.9375,47.4375
70.0,117.0625,60.1875
77.0,-141.1875,62.6875
9.0,-119.1875,40.3125
31.0,30.3125,-27.0625
54.0,97.1875,18.0625
107.0,95.3125,62.5625
113.0,14.9375,62.9375
120.0,107.3125,65.0625
38.0,109.0625,25.4375
13.0,120.8125,42.0625
28.0,120.9375,44.9375
109.0,119.8125,4.8125
58.0,7.1875,49.8125
128.0,84.3125,67.9375
77.0,18.8125,67.5625
100.0,172.6875,62.9375
33.0,82.8125,29.1875
248.0,110.8125,1.5625
242.0,-51.8125,67.5625
14.0,112.5625,34.5625
121.0,65.1875,61.6875
71.0,10.0625,45.6875
34.0,-79.5625,37.5625
30.0,-93.3125,15.9375
26.0,118.8125,40.8125
40.0,38.8125,40.3125
165.0,81.8125,61.0625
29.0,10.4375,49.0625
70.0,85.3125,50.5625
191.0,-137.3125,67.4375
71.0,-53.0625,46.9375
99.0,-133.6875,58.3125
60.0,-74.0625,42.3125
24.0,-92.0625,33.6875
70.0,96.1875,66.5625
68.0,-137.4375,61.9375
0.0,-105.3125,24.9375
97.0,133.1875,64.3125
-9999.0,-42.9375,63.1875
95.0,10.4375,62.1875
57.0,-73.5625,41.6875
110.0,140.6875,65.4375
39.0,25.1875,50.3125
18.0,118.3125,29.6875
40.0,94.4375,49.1875
18.0,-106.5625,43.9375
16.0,112.8125,31.8125
233.0,-77.6875,59.1875
-9999.0,18.3125,56.6875
110.0,102.6875,51.6875
99.0,51.8125,64.5625
36.0,110.0625,20.3125
125.0,-89.6875,65.6875
91.0,-121.8125,53.8125
82.0,-73.8125,43.5625
-9999.0,-32.8125,68.5625
68.0,5.5625,45.8125
28.0,113.6875,24.5625
4.0,99.0625,16.5625
66.0,38.6875,56.6875
32.0,98.5625,19.8125
15.0,-104.8125,35.0625
143.0,-84.3125,49.8125
22.0,-106.4375,44.9375
40.0,-96.5625,43.6875
32.0,-99.3125,29.5625
-9999.0,-63.1875,44.5625
98.0,-160.0625,60.1875
161.0,154.1875,63.3125
35.0,0.8125,41.1875
92.0,80.6875,60.8125
135.0,-88.3125,64.9375
79.0,133.1875,56.9375
28.0,98.0625,30.5625
113.0,-69.3125,56.1875
27.0,-94.6875,34.8125
94.0,88.5625,73.9375
110.0,32.5625,64.6875
32.0,123.0625,40.9375
69.0,-91.0625,32.4375
37.0,118.3125,25.8125
321.0,-117.8125,62.5625
161.0,148.0625,60.8125
115.0,-83.0625,43.4375
24.0,-115.9375,36.4375
41.0,116.4375,58.5625
123.0,84.3125,70.5625
53.0,23.0625,45.3125
18.0,107.6875,34.4375
161.0,-134.8125,66.5625
-9999.0,-56.9375,53.9375
302.0,21.4375,60.3125
