ISRICSOILGRIDS_new_average_nitrogen_reduced,x,y
73.0,-92.29167405,31.45833585
214.0,120.62500965,46.45833705
216.0,123.95834325,53.95833765
209.0,100.20834135,25.20833535
198.0,86.87500695,56.04167115
326.0,153.95834565,60.20833815
464.0,-88.12500705,52.29167085
83.0,-108.95834205,31.87500255
-9999.0,128.95834365,28.95833565
204.0,-114.79167585,59.37500475
-9999.0,126.45834345,-13.54166775
232.0,-78.54167295,46.45833705
257.0,-108.95834205,62.70833835
205.0,-85.20834015,48.12500385
153.0,118.12500945,29.79166905
114.0,24.79166865,41.87500335
238.0,5.20833374999998,47.70833715
192.0,-125.62501005,66.04167195
172.0,122.29167645,58.12500465
559.0,-95.62500765,65.20833855
-9999.0,-105.20834175,61.45833825
966.0,24.37500195,56.87500455
115.0,117.29167605,26.04166875
176.0,105.62500845,26.04166875
357.0,156.87501255,57.70833795
-9999.0,-113.12500905,64.79167185
263.0,104.37500835,73.12500585
-9999.0,115.20834255,-32.70833595
-9999.0,-151.04167875,62.29167165
169.0,110.62500885,28.12500225
-9999.0,-90.62500725,46.87500375
163.0,15.20833455,59.37500475
340.0,69.79167225,61.45833825
38.0,121.87500975,-30.62500245
301.0,-112.29167565,70.20833895
55.0,-85.20834015,33.12500265
