ISRICSOILGRIDS_new_average_phx10percent_reduced,x,y
57.0,-72.70833915,-48.95833725
53.0,152.29167885,65.20833855
76.0,75.62500605,43.54167015
-9999.0,51.04167075,36.87500295
63.0,100.62500805,54.79167105
-9999.0,128.54167695,-6.87500055
61.0,99.79167465,51.87500415
70.0,35.62500285,41.04166995
69.0,-101.87500815,51.87500415
58.0,-26.87500215,71.04167235
49.0,76.45833945,58.95833805
49.0,-81.04167315,38.12500305
75.0,114.37500915,37.29166965
68.0,91.87500735,53.12500425
55.0,-132.29167725,69.37500555
-9999.0,129.37501035,33.95833605
-9999.0,20.62500165,56.04167115
52.0,-93.54167415,49.37500395
60.0,107.70834195,24.79166865
69.0,-110.62500885,49.79167065
57.0,86.45834025,73.12500585
50.0,-158.12501265,62.70833835
82.0,-118.12500945,37.70833635
79.0,103.95834165,35.62500285
54.0,64.37500515,68.54167215
68.0,-121.04167635,36.45833625
67.0,88.54167375,22.29166845
71.0,-119.37500955,48.54167055
-9999.0,66.04167195,69.37500555
58.0,-116.04167595,56.45833785
75.0,-96.87500775,48.12500385
52.0,42.29167005,60.20833815
-9999.0,18.95833485,40.20833655
56.0,90.20834055,68.95833885
54.0,35.62500285,56.45833785
70.0,71.87500575,35.62500285
-9999.0,106.45834185,3.54166694999999
64.0,125.62501005,50.62500405
-9999.0,119.37500955,-8.54166735
-9999.0,120.20834295,4.79166705
56.0,-20.20833495,64.79167185
-9999.0,119.79167625,39.79166985
53.0,127.29167685,55.62500445
67.0,-82.29167325,42.29167005
-9999.0,154.79167905,49.79167065
49.0,-70.62500565,48.12500385
54.0,29.79166905,56.45833785
57.0,-129.79167705,60.20833815
53.0,160.20834615,54.37500435
-9999.0,-34.37500275,66.45833865
-9999.0,1.45833345,53.12500425
62.0,54.79167105,56.04167115
47.0,125.62501005,57.70833795
60.0,-131.04167715,56.87500455
50.0,-98.12500785,57.70833795
62.0,18.12500145,52.29167085
60.0,140.20834455,65.62500525
-9999.0,-59.37500475,55.62500445
50.0,123.12500985,-0.625000049999997
48.0,104.37500835,-5.62500045
70.0,-97.70834115,21.04166835
-9999.0,-76.87500615,56.45833785
-9999.0,14.79166785,54.37500435
51.0,66.45833865,62.70833835
54.0,-81.45833985,27.29166885
59.0,21.04166835,48.95833725
60.0,97.70834115,18.12500145
64.0,-98.95834125,18.54166815
53.0,140.62501125,52.70833755
57.0,145.20834495,43.54167015
56.0,63.95833845,58.95833805
52.0,33.12500265,68.95833885
49.0,-91.45834065,49.79167065
-9999.0,-76.04167275,63.95833845
53.0,-135.62501085,64.79167185
52.0,88.95834045,52.70833755
62.0,12.70833435,49.79167065
60.0,-64.37500515,-19.79166825
-9999.0,93.54167415,6.45833385
83.0,-102.29167485,26.04166875
54.0,-105.20834175,63.54167175
-9999.0,-22.29166845,69.79167225
61.0,39.79166985,59.37500475
55.0,-82.70833995,28.12500225
54.0,-170.20834695,63.54167175
50.0,83.95834005,60.62500485
50.0,142.70834475,43.54167015
-9999.0,172.29168045,-34.37500275
61.0,143.95834485,-39.79166985
-9999.0,-90.20834055,51.45833745
53.0,-138.95834445,63.54167175
72.0,96.45834105,33.12500265
51.0,25.20833535,46.87500375
50.0,-133.12501065,58.95833805
67.0,-95.62500765,43.54167015
58.0,128.54167695,53.12500425
51.0,173.12501385,66.04167195
51.0,114.79167585,58.95833805
72.0,-70.62500565,-37.29166965
49.0,92.29167405,62.70833835
-9999.0,35.20833615,66.04167195
59.0,27.70833555,49.37500395
-9999.0,15.20833455,39.37500315
56.0,105.62500845,61.04167155
52.0,107.70834195,-7.29166725
67.0,7.29166724999999,43.95833685
54.0,83.95834005,50.62500405
60.0,21.45833505,55.62500445
50.0,76.87500615,58.95833805
-9999.0,146.45834505,-40.62500325
54.0,23.54166855,51.87500415
-9999.0,11.04166755,55.62500445
59.0,132.29167725,43.95833685
-9999.0,130.62501045,-7.70833395
63.0,106.87500855,27.70833555
-9999.0,122.70834315,0.208333350000004
61.0,24.37500195,47.70833715
51.0,23.95833525,67.29167205
55.0,110.62500885,29.79166905
77.0,65.20833855,34.79166945
66.0,-96.45834105,39.37500315
-9999.0,-73.95833925,-40.62500325
68.0,8.54166734999998,39.79166985
-9999.0,176.87501415,64.79167185
57.0,122.70834315,53.12500425
61.0,15.62500125,49.37500395
51.0,156.87501255,62.70833835
