LandCover_5_Shrubs,x,y
0.0,-93.54167415,38.54166975
8.0,149.37501195,-33.95833605
40.0,122.70834315,-16.87500135
0.0,106.04167515,20.62500165
0.0,110.62500885,28.54166895
30.0,21.04166835,38.54166975
37.0,-104.79167505,42.29167005
0.0,-106.04167515,21.45833505
0.0,103.12500825,-4.79166705
0.0,9.37500075,52.70833755
0.0,100.62500805,5.20833374999999
0.0,120.20834295,-10.20833415
0.0,-104.79167505,23.54166855
0.0,93.12500745,13.12500105
100.0,-102.29167485,26.45833545
0.0,123.95834325,0.625000049999997
40.0,151.04167875,-27.29166885
0.0,114.37500915,3.54166694999999
0.0,2.70833354999999,48.54167055
0.0,108.12500865,13.12500105
0.0,26.04166875,35.62500285
22.0,-112.70834235,48.95833725
20.0,-71.45833905,-42.70833675
0.0,-103.95834165,23.54166855
94.0,-117.29167605,33.95833605
0.0,148.54167855,-33.54166935
0.0,140.20834455,41.04166995
0.0,108.12500865,1.04166675
33.0,107.29167525,13.95833445
0.0,101.87500815,15.62500125
32.0,-106.87500855,31.04166915
0.0,-73.12500585,-40.20833655
39.0,-112.70834235,35.20833615
38.0,-72.29167245,-51.45833745
0.0,-97.70834115,16.87500135
13.0,4.79166705,36.87500295
13.0,98.95834125,18.12500145
0.0,126.04167675,-32.70833595
0.0,90.20834055,22.29166845
0.0,-92.29167405,16.87500135
13.0,106.87500855,14.79166785
3.0,148.95834525,-36.87500295
0.0,152.70834555,-26.04166875
24.0,-73.95833925,-43.12500345
0.0,34.79166945,33.54166935
0.0,126.87501015,-1.04166675
0.0,127.29167685,-32.70833595
31.0,106.04167515,16.04166795
0.0,124.79167665,-33.12500265
0.0,136.87501095,-4.79166705
22.0,99.37500795,21.87500175
0.0,116.87500935,-1.45833345
0.0,-100.62500805,29.37500235
0.0,108.12500865,21.04166835
12.0,94.37500755,23.54166855
0.0,-99.37500795,23.95833525
0.0,114.79167585,2.70833354999999
0.0,101.45834145,3.54166694999999
0.0,151.04167875,-32.29166925
0.0,153.12501225,-31.04166915
0.0,92.70834075,26.45833545
0.0,120.62500965,12.29166765
0.0,116.87500935,3.12500025
45.0,123.12500985,-29.79166905
0.0,147.70834515,-6.45833385
0.0,151.45834545,-25.20833535
11.0,-74.37500595,-45.20833695
0.0,8.95833404999999,44.79167025
33.0,-72.29167245,-50.62500405
0.0,-3.12500025,53.54167095
0.0,17.29166805,48.54167055
39.0,-103.54167495,19.79166825
0.0,127.29167685,4.37500034999999
0.0,49.79167065,53.95833765
0.0,137.29167765,-13.95833445
0.0,121.87500975,-3.95833365
0.0,158.12501265,-8.95833405
0.0,131.87501055,-6.87500055
0.0,109.37500875,50.20833735
0.0,144.79167825,-38.54166975
0.0,100.20834135,-0.208333350000004
38.0,97.70834115,53.54167095
0.0,100.20834135,-1.45833345
38.0,143.12501145,-13.95833445
15.0,-100.62500805,33.12500265
0.0,167.29168005,-16.04166795
40.0,142.70834475,-14.37500115
53.0,118.95834285,-30.20833575
14.0,98.95834125,13.12500105
28.0,103.54167495,18.95833485
0.0,130.62501045,-11.87500095
0.0,115.20834255,3.95833365
0.0,3.54166694999998,37.29166965
0.0,153.12501225,-31.45833585
0.0,118.54167615,25.62500205
29.0,103.95834165,10.62500085
0.0,118.54167615,-2.70833355000001
0.0,113.95834245,22.29166845
0.0,116.87500935,-34.79166945
0.0,150.20834535,-8.95833405
0.0,-99.37500795,23.12500185
100.0,-101.45834145,24.37500195
0.0,-121.87500975,36.04166955
18.0,151.45834545,-28.12500225
0.0,-73.54167255,-40.20833655
0.0,109.79167545,54.79167105
0.0,140.62501125,-7.70833395
16.0,94.79167425,23.95833525
0.0,109.79167545,2.29166685
25.0,108.12500865,15.62500125
0.0,133.95834405,-33.12500265
7.0,99.79167465,18.95833485
0.0,139.79167785,-17.29166805
0.0,28.12500225,50.20833735
24.0,94.79167425,26.45833545
0.0,-111.87500895,42.70833675
0.0,26.04166875,34.79166945
0.0,117.70834275,9.79166744999999
0.0,-1.45833345,52.70833755
0.0,118.54167615,9.37500075
0.0,149.37501195,-22.29166845
0.0,142.70834475,-36.87500295
50.0,-113.12500905,35.62500285
0.0,136.04167755,-14.79166785
0.0,124.79167665,8.95833404999999
44.0,-4.79166705,38.12500305
0.0,11.87500095,53.12500425
0.0,147.29167845,-7.70833395
0.0,130.62501045,-11.04166755
0.0,136.04167755,-13.95833445
30.0,134.37501075,-33.12500265
0.0,9.37500075,54.37500435
0.0,116.04167595,-8.95833405
0.0,146.87501175,-6.87500055
0.0,97.29167445,18.95833485
0.0,109.37500875,20.20833495
0.0,113.95834245,4.79166705
0.0,146.87501175,-38.95833645
0.0,142.29167805,-35.62500285
0.0,114.79167585,3.95833365
0.0,-91.45834065,16.87500135
0.0,137.29167765,-15.62500125
14.0,98.54167455,51.87500415
10.0,-101.87500815,21.04166835
8.0,102.70834155,22.29166845
0.0,92.70834075,8.95833404999999
78.0,127.70834355,-31.87500255
0.0,96.87500775,20.20833495
21.0,22.70833515,37.70833635
0.0,113.54167575,1.04166675
0.0,1.45833345,50.62500405
0.0,118.54167615,-2.29166685
0.0,133.12501065,-2.29166685
