ISRICSOILGRIDS_new_average_nitrogen_reduced,x,y
335.0,78.95833965,68.54167215
-9999.0,105.20834175,-6.04166715000001
282.0,11.45833425,46.87500375
264.0,44.79167025,55.20833775
445.0,23.95833525,56.87500455
94.0,149.37501195,-21.87500175
-9999.0,-73.12500585,48.54167055
-9999.0,143.12501145,46.04167035
302.0,-68.54167215,49.79167065
259.0,121.04167635,52.29167085
176.0,108.54167535,33.54166935
194.0,108.12500865,50.62500405
108.0,108.54167535,36.04166955
143.0,-116.87500935,52.70833755
-9999.0,-66.04167195,44.79167025
198.0,31.04166915,53.95833765
-9999.0,-87.29167365,42.70833675
102.0,105.20834175,12.29166765
-9999.0,145.20834495,-40.62500325
-9999.0,39.79166985,57.70833795
273.0,-63.54167175,55.62500445
209.0,52.29167085,58.95833805
109.0,120.62500965,31.04166915
160.0,80.20833975,29.37500235
361.0,21.04166835,66.45833865
103.0,-93.12500745,37.70833635
780.0,-3.54166695000001,53.12500425
164.0,-94.37500755,37.29166965
235.0,-71.04167235,46.04167035
-9999.0,-153.95834565,58.12500465
171.0,2.29166684999998,49.79167065
216.0,-116.04167595,48.12500385
282.0,-8.12500065,43.54167015
105.0,106.04167515,12.70833435
-9999.0,-76.45833945,53.12500425
184.0,106.87500855,23.54166855
228.0,8.54166734999998,55.62500445
646.0,-6.87500055000001,53.95833765
441.0,32.29166925,67.29167205
296.0,15.20833455,47.70833715
163.0,133.95834405,33.54166935
-9999.0,93.54167415,30.20833575
168.0,151.45834545,-32.29166925
463.0,137.29167765,46.87500375
545.0,-82.29167325,50.62500405
105.0,-82.29167325,36.87500295
468.0,-72.70833915,-40.20833655
1245.0,-5.20833375000001,57.29167125
-9999.0,133.54167735,36.45833625
-9999.0,-60.62500485,45.20833695
-9999.0,136.04167755,-34.79166945
194.0,126.87501015,42.29167005
512.0,31.45833585,58.12500465
208.0,27.29166885,51.45833745
171.0,-117.29167605,45.20833695
276.0,-97.70834115,49.37500395
-9999.0,23.54166855,-34.37500275
304.0,93.95834085,51.87500415
302.0,139.79167785,-36.45833625
566.0,-158.95834605,58.54167135
152.0,-92.70834075,48.95833725
536.0,-91.04167395,53.95833765
342.0,-139.79167785,68.54167215
228.0,43.95833685,61.87500495
589.0,8.95833404999999,62.29167165
211.0,130.20834375,47.70833715
150.0,-112.29167565,44.79167025
289.0,87.29167365,50.20833735
360.0,29.37500235,63.95833845
271.0,-126.04167675,55.20833775
353.0,-60.20833815,53.54167095
456.0,-131.87501055,53.95833765
478.0,-129.79167705,53.54167095
-9999.0,14.37500115,45.20833695
72.0,121.87500975,41.87500335
-9999.0,24.79166865,61.04167155
118.0,-105.20834175,26.04166875
-9999.0,22.70833515,65.62500525
149.0,-115.20834255,53.95833765
-9999.0,101.04167475,12.29166765
555.0,142.70834475,53.95833765
-9999.0,16.87500135,59.37500475
180.0,143.12501145,-38.54166975
88.0,121.87500975,42.70833675
-9999.0,-155.62501245,57.29167125
281.0,-114.37500915,43.54167015
349.0,153.54167895,61.87500495
-9999.0,138.12501105,37.29166965
372.0,134.79167745,50.20833735
162.0,13.54166775,49.37500395
185.0,58.54167135,55.62500445
188.0,8.95833404999999,56.45833785
140.0,-95.62500765,40.62500325
137.0,101.45834145,23.54166855
161.0,3.12500025,46.04167035
280.0,21.45833505,62.29167165
470.0,-88.95834045,52.29167085
142.0,126.45834345,38.12500305
93.0,-91.04167395,31.87500255
188.0,-104.79167505,22.70833515
558.0,-159.37501275,58.95833805
163.0,16.87500135,51.04167075
217.0,-128.54167695,60.20833815
133.0,117.29167605,30.20833575
689.0,-156.45834585,58.12500465
168.0,19.37500155,48.12500385
604.0,160.62501285,56.04167115
276.0,31.45833585,51.04167075
-9999.0,-79.79167305,32.70833595
148.0,21.04166835,45.62500365
-9999.0,133.12501065,36.87500295
376.0,143.12501145,50.62500405
172.0,-115.62500925,53.95833765
209.0,122.70834315,53.95833765
137.0,109.79167545,19.37500155
-9999.0,129.37501035,33.12500265
175.0,113.12500905,25.62500205
353.0,-136.87501095,66.87500535
176.0,-67.70833875,46.45833705
110.0,111.87500895,23.95833525
597.0,-45.20833695,60.62500485
242.0,60.62500485,57.29167125
432.0,-1.04166675000002,52.70833755
151.0,-71.04167235,-39.79166985
-9999.0,138.12501105,37.70833635
224.0,50.62500405,56.45833785
-9999.0,-80.62500645,31.87500255
930.0,27.70833555,56.87500455
