ISRICSOILGRIDS_new_average_siltpercent_reduced,x,y
34.0,-83.54167335,46.04167035
31.0,-81.04167315,46.04167035
36.0,-77.70833955,46.04167035
39.0,-77.29167285,46.04167035
-9999.0,-60.62500485,46.04167035
-9999.0,-59.79167145,46.04167035
45.0,0.625000049999983,46.04167035
37.0,1.45833345,46.04167035
34.0,2.29166684999998,46.04167035
34.0,2.70833354999999,46.04167035
39.0,3.95833364999999,46.04167035
48.0,4.79166705,46.04167035
42.0,23.54166855,46.04167035
44.0,23.95833525,46.04167035
40.0,5.62500044999999,45.62500365
42.0,14.79166785,45.62500365
36.0,21.87500175,45.62500365
43.0,22.70833515,45.62500365
42.0,23.12500185,45.62500365
36.0,-79.79167305,45.20833695
-9999.0,-1.45833345,45.20833695
39.0,0.208333349999975,45.20833695
39.0,0.625000049999983,45.20833695
42.0,1.45833345,45.20833695
43.0,5.20833374999998,45.20833695
43.0,9.37500075,45.20833695
40.0,23.54166855,45.20833695
44.0,24.79166865,45.20833695
38.0,37.29166965,45.20833695
-9999.0,-79.79167305,44.79167025
17.0,-1.04166675000002,44.79167025
48.0,8.12500064999998,44.79167025
35.0,33.54166935,44.79167025
40.0,0.625000049999983,44.37500355
39.0,1.45833345,44.37500355
35.0,6.87500054999998,44.37500355
37.0,7.29166724999999,44.37500355
43.0,10.62500085,44.37500355
39.0,11.45833425,44.37500355
-9999.0,37.70833635,44.37500355
-9999.0,-124.37500995,43.95833685
45.0,-93.12500745,43.95833685
-9999.0,-4.37500035000002,43.95833685
-9999.0,-3.95833365000001,43.95833685
-9999.0,-3.54166695000001,43.95833685
-9999.0,-3.12500025,43.95833685
-9999.0,-2.70833355000002,43.95833685
46.0,0.625000049999983,43.95833685
37.0,3.54166694999998,43.95833685
39.0,3.95833364999999,43.95833685
38.0,5.20833374999998,43.95833685
39.0,7.70833395,43.95833685
-9999.0,8.54166734999998,43.95833685
-9999.0,9.79166744999998,43.95833685
40.0,10.62500085,43.95833685
39.0,11.04166755,43.95833685
35.0,16.04166795,43.95833685
32.0,-93.54167415,43.54167015
-9999.0,-9.37500075,43.54167015
44.0,1.87500014999998,43.54167015
-9999.0,10.20833415,43.54167015
42.0,10.62500085,43.54167015
49.0,13.54166775,43.54167015
36.0,16.04166795,43.54167015
37.0,16.87500135,43.54167015
52.0,-88.95834045,43.12500345
-9999.0,-87.29167365,43.12500345
40.0,1.04166674999999,43.12500345
38.0,1.45833345,43.12500345
-9999.0,4.79166705,43.12500345
-9999.0,5.20833374999998,43.12500345
-9999.0,8.54166734999998,43.12500345
38.0,10.62500085,43.12500345
33.0,16.87500135,43.12500345
45.0,125.20834335,43.12500345
36.0,131.87501055,43.12500345
39.0,-4.37500035000002,42.70833675
39.0,1.45833345,42.70833675
-9999.0,10.20833415,42.70833675
-9999.0,10.62500085,42.70833675
39.0,11.45833425,42.70833675
41.0,11.87500095,42.70833675
-9999.0,16.45833465,42.70833675
-9999.0,17.29166805,42.70833675
39.0,23.95833525,42.70833675
37.0,26.04166875,42.70833675
41.0,26.45833545,42.70833675
44.0,26.87500215,42.70833675
40.0,27.70833555,42.70833675
59.0,-96.04167435,42.29167005
-9999.0,9.79166744999998,42.29167005
-9999.0,10.62500085,42.29167005
-9999.0,11.04166755,42.29167005
-9999.0,11.45833425,42.29167005
41.0,11.87500095,42.29167005
36.0,12.29166765,42.29167005
35.0,19.37500155,42.29167005
44.0,25.62500205,42.29167005
40.0,26.04166875,42.29167005
39.0,26.45833545,42.29167005
39.0,27.70833555,42.29167005
35.0,110.62500885,42.29167005
39.0,-3.54166695000001,41.87500335
38.0,-3.12500025,41.87500335
39.0,-1.87500015000001,41.87500335
40.0,2.29166684999998,41.87500335
-9999.0,8.12500064999998,41.87500335
30.0,8.95833404999999,41.87500335
-9999.0,11.45833425,41.87500335
-9999.0,11.87500095,41.87500335
35.0,12.29166765,41.87500335
41.0,12.70833435,41.87500335
37.0,24.79166865,41.87500335
41.0,25.20833535,41.87500335
41.0,25.62500205,41.87500335
34.0,26.45833545,41.87500335
-9999.0,141.45834465,41.87500335
43.0,-123.95834325,41.45833665
41.0,-123.54167655,41.45833665
39.0,-3.54166695000001,41.45833665
47.0,0.208333349999975,41.45833665
37.0,1.45833345,41.45833665
-9999.0,7.70833395,41.45833665
-9999.0,8.12500064999998,41.45833665
-9999.0,8.95833404999999,41.45833665
-9999.0,9.37500075,41.45833665
-9999.0,12.29166765,41.45833665
33.0,12.70833435,41.45833665
-9999.0,16.04166795,41.45833665
-9999.0,16.87500135,41.45833665
-9999.0,18.95833485,41.45833665
37.0,25.20833535,41.45833665
39.0,25.62500205,41.45833665
-9999.0,38.12500305,41.45833665
-9999.0,39.37500315,41.45833665
32.0,121.45834305,41.45833665
41.0,122.70834315,41.45833665
39.0,-123.54167655,41.04166995
39.0,-7.29166725000002,41.04166995
29.0,-3.54166695000001,41.04166995
36.0,-2.29166685000001,41.04166995
39.0,-1.45833345,41.04166995
29.0,9.37500075,41.04166995
-9999.0,9.79166744999998,41.04166995
-9999.0,12.70833435,41.04166995
-9999.0,13.12500105,41.04166995
38.0,14.37500115,41.04166995
38.0,15.20833455,41.04166995
42.0,16.87500135,41.04166995
-9999.0,17.70833475,41.04166995
-9999.0,18.95833485,41.04166995
-9999.0,19.37500155,41.04166995
38.0,21.87500175,41.04166995
42.0,22.29166845,41.04166995
40.0,22.70833515,41.04166995
40.0,23.54166855,41.04166995
36.0,23.95833525,41.04166995
